STATE,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
NC,17,E,H,F,3,4,N,L,D,B,S,2
FL,28,U,U,M,3,4,N,L,G,B,C,2
IL,43,U,U,F,0,4,N,L,E,A,R,2
CA,7,U,U,F,0,4,N,L,G,A,U,2
IN,45,E,U,M,2,4,N,L,G,D,R,2
CA,37,E,H,F,2,4,N,L,D,C,T,2
other,40,E,H,other,3,4,Y,L,G,D,T,2
other,14,U,U,F,2,4,N,L,F,B,S,1
NC,53,U,U,F,0,4,Y,L,F,D,R,3
CA,10,E,H,M,2,12,N,L,E,A,U,4
MI,24,E,H,F,3,4,N,L,F,A,C,1
other,38,U,U,F,0,4,N,L,G,A,T,2
IL,21,E,H,M,2,4,N,L,E,A,S,3
CA,13,E,H,F,2,4,N,L,F,A,S,1
FL,9,E,H,F,3,4,N,L,F,A,U,3
WI,11,I,H,M,1,4,N,L,G,B,S,1
FL,28,U,U,M,1,4,N,L,F,B,C,2
TX,11,E,H,F,3,4,N,L,E,A,S,1
other,46,E,U,M,2,4,N,L,F,D,R,2
CA,7,U,U,F,0,4,N,L,F,A,U,2
GA,43,E,U,F,1,4,Y,L,F,B,R,2
CA,3,U,H,F,3,4,N,L,F,A,U,1
other,28,E,H,M,1,4,Y,L,F,C,C,2
FL,29,E,H,F,3,4,N,L,G,B,C,2
TX,30,E,H,F,3,4,N,L,G,C,C,3
other,25,U,U,M,0,4,N,L,G,B,C,2
NC,45,E,H,F,2,4,Y,L,F,D,R,2
other,31,E,H,M,3,4,N,L,D,B,C,3
GA,18,E,H,M,3,4,N,L,E,A,S,2
other,27,E,H,M,3,4,N,L,E,C,C,2
other,45,U,U,F,0,4,N,L,E,D,R,2
other,36,E,H,F,3,4,N,L,F,C,T,2
MO,40,U,U,M,0,4,N,L,D,C,T,2
FL,29,E,H,F,3,12,N,L,E,B,C,2
CA,13,U,U,M,0,4,N,L,F,A,S,1
FL,4,E,U,F,2,12,N,L,F,A,U,2
other,12,U,U,F,2,4,N,L,E,B,S,1
CA,10,E,H,F,3,4,N,L,G,A,U,4
other,44,E,U,M,2,4,N,L,E,B,R,2
TX,3,E,H,F,3,4,N,L,G,A,U,1
CA,22,U,U,F,0,4,N,L,G,A,C,1
other,41,U,U,F,0,4,N,L,D,B,T,3
FL,18,E,H,M,3,12,N,L,G,B,S,2
other,51,U,U,F,2,4,N,L,F,D,R,3
CA,13,I,H,M,3,4,N,L,G,A,S,1
TX,24,U,U,other,1,4,N,L,E,C,C,1
TX,49,E,H,M,3,12,N,L,F,D,R,2
NC,36,E,H,F,3,4,N,L,F,D,T,2
CA,24,I,H,M,2,4,N,L,G,A,C,1
other,12,E,H,F,3,4,Y,L,F,B,S,1
other,13,E,H,M,3,4,N,L,G,B,S,1
other,43,E,H,M,3,4,N,L,G,B,R,2
other,24,E,H,F,3,4,N,L,E,B,C,1
TX,13,E,H,M,3,12,N,L,G,A,S,1
other,18,E,H,F,3,4,N,L,E,C,S,2
MO,39,E,U,M,3,4,N,L,E,D,T,2
other,43,U,H,M,3,4,N,L,F,D,R,2
FL,23,I,U,F,0,4,N,L,D,B,C,1
FL,33,E,H,M,2,4,N,L,F,A,C,3
CA,24,E,H,M,3,12,N,L,E,A,C,1
FL,49,U,U,F,0,4,N,L,G,B,R,2
FL,40,E,U,F,2,4,N,L,F,B,T,2
other,8,E,H,F,3,4,N,L,F,A,U,3
other,8,E,U,M,1,4,Y,L,E,B,U,3
other,31,E,H,F,2,4,N,L,G,B,C,3
FL,37,E,H,F,2,4,N,L,F,C,T,2
IL,13,E,H,F,3,4,N,L,E,A,S,1
other,14,I,H,F,2,4,N,L,F,A,S,1
IL,13,E,H,F,2,12,N,L,G,A,S,1
IL,30,E,H,F,3,4,Y,L,G,B,C,3
MI,40,U,H,F,3,4,N,L,F,A,T,2
CA,3,I,U,F,2,4,N,L,F,A,U,1
MI,24,U,U,M,3,4,N,L,F,C,C,1
IL,36,E,U,F,3,4,N,L,G,B,T,2
TX,12,E,H,M,3,4,N,L,G,B,S,1
MI,44,E,H,M,3,4,N,L,F,A,R,2
other,40,E,H,F,2,4,N,L,F,C,T,2
WA,40,E,H,M,2,12,N,L,E,A,T,2
IL,7,E,H,F,3,4,N,L,F,A,U,2
FL,30,E,H,F,3,4,N,L,F,B,C,3
MI,17,E,U,F,3,4,N,L,G,A,S,2
MO,36,E,H,F,2,4,N,L,F,D,T,2
IN,49,I,U,M,0,4,N,L,F,C,R,2
CA,14,E,H,M,2,4,Y,L,G,B,S,1
FL,28,E,H,F,3,4,N,L,D,B,C,2
IN,44,U,U,M,0,4,N,L,E,B,R,2
other,45,I,U,F,1,4,N,L,F,B,R,2
TX,10,E,H,F,1,12,Y,L,E,C,U,4
CA,15,U,U,F,0,4,N,L,G,A,S,1
TX,32,E,H,F,3,4,N,L,G,A,C,3
other,36,E,U,M,3,4,N,L,G,C,T,2
other,27,I,H,M,3,4,N,L,F,C,C,2
FL,53,U,U,M,0,4,N,L,E,C,R,3
other,51,U,U,M,3,4,N,L,F,D,R,3
CA,24,E,H,F,3,4,N,L,F,C,C,1
MI,36,U,U,F,0,4,N,L,G,D,T,2
other,12,E,H,M,3,4,N,L,E,B,S,1
other,30,E,U,M,2,4,N,L,F,C,C,3
other,31,E,H,M,3,4,N,L,E,C,C,3
NC,22,U,U,F,0,4,N,L,E,B,C,1
other,31,I,U,M,0,4,N,L,E,B,C,3
FL,22,E,U,F,2,4,N,L,F,B,C,1
other,40,U,U,M,0,4,N,L,F,B,T,2
GA,39,U,U,F,1,4,N,L,F,B,T,2
CA,46,U,U,F,0,4,N,L,E,B,R,2
GA,27,E,H,M,3,4,N,L,F,B,C,2
MI,32,E,U,F,2,4,N,L,F,B,C,3
FL,27,E,U,F,3,4,N,L,D,B,C,2
other,16,E,H,F,2,4,N,L,G,B,S,2
TX,40,E,U,F,2,12,N,L,F,A,T,2
CA,35,E,H,F,3,4,N,L,G,A,T,1
MI,43,E,H,M,3,12,N,L,F,D,R,2
CA,44,U,H,F,3,4,N,L,F,A,R,2
CA,10,E,U,F,2,4,N,L,F,A,U,4
FL,9,I,U,F,0,4,N,L,F,C,U,3
WA,27,E,H,F,3,4,N,L,F,A,C,2
other,41,E,H,F,2,4,N,L,F,D,T,3
NC,40,E,H,F,3,4,N,L,E,D,T,2
other,10,U,U,other,0,4,N,L,F,A,U,4
other,51,U,U,M,0,4,N,L,F,D,R,3
CA,20,E,H,F,3,12,Y,L,G,A,S,2
FL,46,I,U,F,0,4,N,L,E,B,R,2
other,51,U,U,M,0,4,N,L,G,B,R,3
CA,1,E,H,F,3,4,N,L,F,A,U,1
other,18,E,U,M,2,4,Y,L,G,B,S,2
NC,38,E,U,F,2,4,N,L,D,C,T,2
CA,35,E,H,F,3,4,N,L,F,A,T,1
other,49,U,U,F,0,4,N,L,E,D,R,2
TX,16,E,H,F,3,4,N,L,F,A,S,2
FL,46,E,H,F,3,4,N,L,F,C,R,2
CA,40,I,U,M,0,4,N,L,G,B,T,2
GA,15,E,U,M,3,4,N,L,G,C,S,1
MI,10,E,H,F,2,4,N,L,D,A,U,4
other,5,E,H,M,3,4,N,L,E,B,U,2
WA,40,E,H,M,3,4,Y,L,E,A,T,2
GA,40,E,H,M,2,4,Y,L,E,C,T,2
MI,38,E,H,F,3,4,N,L,E,A,T,2
WA,39,E,H,M,2,4,N,L,F,C,T,2
other,23,U,U,F,0,4,N,L,F,A,C,1
CA,12,E,H,F,3,4,N,L,G,A,S,1
FL,37,U,U,M,2,4,N,L,F,B,T,2
WA,24,E,H,M,3,4,N,L,F,C,C,1
TX,24,E,H,M,3,4,Y,L,G,A,C,1
CA,10,U,H,F,3,4,N,L,G,A,U,4
CA,30,E,H,M,3,4,N,L,F,A,C,3
other,11,E,H,M,2,4,Y,L,F,B,S,1
CA,2,E,H,M,2,4,N,L,F,A,U,1
CA,46,E,H,F,2,4,N,L,F,A,R,2
FL,23,E,H,M,3,4,N,L,E,A,C,1
IN,24,U,U,M,0,4,N,L,F,C,C,1
NC,32,E,U,M,3,4,N,L,F,B,C,3
NC,51,U,U,F,0,4,N,L,F,B,R,3
other,50,U,U,other,2,4,N,L,G,D,R,3
FL,42,E,U,M,1,4,N,L,E,D,R,1
other,11,U,U,M,0,4,N,L,D,C,S,1
CA,40,E,H,F,3,4,N,L,F,B,T,2
CA,12,E,H,F,2,4,Y,L,F,A,S,1
IL,35,E,H,F,3,4,N,L,E,C,T,1
IL,18,U,U,F,0,4,N,L,F,A,S,2
CA,3,E,H,M,3,4,N,L,F,A,U,1
other,43,E,U,M,3,4,N,L,F,D,R,2
FL,40,E,H,F,2,12,N,L,F,B,R,2
FL,12,U,H,M,3,12,N,L,G,B,S,1
TX,12,E,H,F,3,4,N,L,F,B,S,1
GA,12,E,H,F,2,4,N,L,F,A,S,1
FL,29,E,H,F,3,4,N,L,E,A,C,2
CA,4,E,U,F,1,4,N,L,E,A,U,2
NC,22,E,H,F,3,4,N,L,G,B,C,1
other,5,E,H,F,3,4,N,L,E,A,U,2
CA,3,U,H,M,2,4,Y,L,F,A,U,1
MO,15,E,H,M,2,4,N,L,G,A,S,1
WI,18,E,H,F,3,4,Y,L,E,A,S,2
MO,12,E,H,M,3,4,Y,L,E,A,S,1
TX,49,E,H,F,2,4,N,L,E,A,R,2
other,39,U,U,M,2,4,N,L,E,D,T,2
FL,34,E,H,F,3,4,N,L,F,B,T,1
other,46,U,U,M,0,4,N,L,F,D,R,2
CA,35,E,H,M,3,4,Y,L,F,B,T,1
MO,40,U,U,M,0,4,N,L,D,D,T,2
CA,14,E,H,M,3,4,N,L,F,A,S,1
other,37,E,H,F,3,4,Y,L,F,D,T,2
other,17,U,U,F,0,4,N,L,F,A,S,2
CA,35,E,H,M,2,4,Y,L,G,A,T,1
CA,13,E,H,M,3,4,N,L,E,A,S,1
other,38,U,U,M,3,4,N,L,F,C,T,2
CA,10,U,U,F,0,4,Y,L,F,A,U,4
FL,21,E,H,M,2,4,N,L,F,A,S,3
IL,41,E,H,F,2,4,N,L,E,D,T,3
other,21,E,H,F,2,4,N,L,F,A,S,3
FL,37,E,H,F,2,4,N,L,F,A,T,2
CA,24,U,U,F,0,4,N,L,G,B,C,1
TX,24,E,H,M,3,4,N,L,F,A,C,1
other,47,E,H,F,2,4,N,L,F,D,R,2
MI,36,E,H,M,2,4,N,L,F,C,T,2
other,36,E,H,M,3,4,N,L,D,B,T,2
IN,36,E,U,F,3,12,N,L,F,D,T,2
CA,27,I,U,M,0,4,N,L,E,C,C,2
other,10,U,U,F,0,4,N,L,G,A,U,4
GA,14,E,H,M,3,4,Y,L,F,A,S,1
other,15,E,U,M,2,4,N,L,F,A,S,1
GA,25,E,H,F,3,4,N,L,F,A,C,2
MI,39,E,H,M,3,4,N,L,F,D,T,2
CA,15,U,U,F,0,4,N,L,F,B,S,1
WI,49,E,U,M,3,4,N,L,E,D,R,2
other,49,E,H,F,2,4,N,L,F,D,R,2
MI,45,E,H,M,3,4,N,L,E,C,R,2
MI,39,E,H,M,2,4,N,L,F,D,T,2
GA,23,E,H,M,3,4,N,L,E,A,C,1
TX,3,E,U,M,1,4,Y,L,D,B,U,1
MO,43,E,H,M,3,4,N,L,F,B,R,2
IL,35,I,H,other,2,4,N,L,F,A,T,1
GA,27,U,H,F,1,4,N,L,F,A,C,2
NC,27,E,H,M,3,4,N,L,G,B,C,2
TX,18,E,H,F,3,4,Y,L,G,A,S,2
IL,49,E,U,F,2,4,N,L,G,C,R,2
CA,5,E,H,F,3,4,N,L,F,B,U,2
other,46,E,H,F,2,4,N,L,F,B,R,2
other,27,E,H,M,2,4,N,L,D,C,C,2
CA,24,E,H,F,3,4,N,L,F,A,C,1
MI,10,E,U,F,3,4,N,L,F,A,U,4
NC,40,E,H,F,3,4,N,L,F,D,T,2
CA,15,E,U,M,2,4,N,L,F,A,S,1
other,41,E,H,M,2,12,N,L,F,A,T,3
WI,10,E,H,F,2,4,N,L,E,B,U,4
GA,24,E,H,other,1,4,N,L,F,A,C,1
IL,20,E,H,M,2,4,Y,L,G,A,S,2
NC,17,E,H,F,3,4,N,L,G,B,S,2
IL,8,E,H,M,2,4,N,L,G,A,U,3
CA,35,E,H,F,2,4,N,L,F,C,T,1
other,30,E,H,M,3,4,Y,L,F,C,C,3
FL,25,U,U,F,0,4,N,L,F,B,C,2
TX,30,E,H,F,2,4,Y,L,F,A,C,3
other,4,E,H,F,3,4,N,L,E,B,U,2
other,28,E,H,F,3,4,N,L,F,C,C,2
NC,26,E,H,F,3,4,N,L,F,B,C,2
WI,27,E,H,F,3,4,N,L,F,B,C,2
MI,37,I,U,F,1,12,N,L,F,A,T,2
CA,2,E,U,F,1,4,Y,L,F,A,U,1
TX,24,E,H,M,3,4,N,L,F,C,C,1
IL,24,E,H,F,3,4,N,L,F,C,C,1
CA,1,U,U,F,0,4,N,L,E,A,U,1
other,30,U,H,F,3,4,N,L,F,C,C,3
WA,46,U,U,M,0,4,N,L,G,D,R,2
FL,37,E,H,M,2,4,N,L,F,B,T,2
FL,29,U,U,F,0,4,N,L,F,B,C,2
MO,3,U,U,F,0,4,N,L,G,B,U,1
NC,40,U,U,M,3,4,N,L,E,B,R,2
TX,14,E,H,F,3,4,N,L,G,A,S,1
WI,53,E,H,F,2,4,N,L,F,D,R,3
other,24,U,U,F,1,4,N,L,F,B,C,1
MI,16,E,H,M,3,4,Y,L,F,A,S,2
WA,11,E,U,M,3,4,N,L,F,A,S,1
TX,22,E,H,M,2,4,N,L,E,A,C,1
other,43,U,U,M,2,4,N,L,E,D,R,2
other,53,U,U,F,0,4,N,L,G,D,R,3
CA,37,U,U,F,0,4,N,L,E,A,T,2
other,12,E,H,M,2,4,N,L,F,B,S,1
TX,24,E,H,M,3,4,N,L,F,C,C,1
MI,40,E,U,F,2,12,N,L,F,B,T,2
MI,21,E,H,M,3,4,N,L,F,C,S,3
IL,12,E,H,M,3,4,N,L,G,A,S,1
other,53,U,U,F,0,4,N,L,D,D,R,3
CA,12,E,H,M,3,4,N,L,F,B,S,1
TX,41,E,U,F,2,12,N,L,E,C,T,3
NC,24,E,H,M,3,4,N,L,F,B,C,1
WI,18,E,H,F,1,4,N,L,F,B,S,2
NC,36,U,U,M,2,4,N,L,F,C,T,2
other,36,E,H,M,3,4,N,L,F,D,T,2
other,41,U,H,F,3,4,N,L,E,D,T,3
CA,10,E,H,F,1,4,N,L,E,B,U,4
other,42,I,U,M,0,4,N,L,F,D,R,1
FL,12,E,U,F,2,4,N,L,D,A,S,1
other,41,E,H,F,3,4,N,L,D,D,T,3
MI,17,U,H,M,2,4,N,L,G,A,S,2
other,42,E,H,F,2,12,N,L,F,C,R,1
other,36,E,U,F,1,4,N,L,E,B,T,2
IL,10,E,U,M,3,4,N,L,E,A,U,4
IL,28,I,H,M,3,4,N,L,G,A,C,2
WI,13,U,U,F,0,4,N,L,F,B,S,1
WA,44,E,H,F,2,4,N,L,E,A,R,2
CA,13,E,H,M,3,4,N,L,F,A,S,1
IL,16,E,H,M,2,4,N,L,G,A,S,2
other,44,E,U,F,3,4,N,L,G,C,R,2
other,36,E,H,M,3,4,Y,L,F,B,T,2
WI,11,U,U,M,0,4,N,L,G,B,S,1
other,30,U,U,M,0,4,N,L,F,C,C,3
NC,32,E,H,F,3,4,N,L,E,C,C,3
WI,49,E,U,M,3,4,N,L,F,D,R,2
FL,28,U,U,F,0,4,N,L,D,A,C,2
IL,12,U,U,F,0,4,N,L,F,A,S,1
MI,2,E,H,F,3,4,N,L,F,A,U,1
CA,24,E,H,M,2,4,N,L,G,B,C,1
MI,27,E,U,M,1,4,N,L,D,A,C,2
CA,33,E,H,M,3,4,N,L,E,A,C,3
FL,29,E,H,M,3,4,N,L,F,C,C,2
CA,13,E,H,M,3,4,Y,L,F,A,S,1
TX,34,U,H,M,3,4,N,L,F,A,T,1
other,43,U,H,M,3,4,N,L,F,B,R,2
IL,10,E,U,F,2,4,N,L,F,A,U,4
other,36,E,U,M,1,4,Y,L,F,B,T,2
other,24,E,H,F,2,4,N,L,F,C,C,1
CA,29,E,H,M,3,0,N,L,G,A,C,2
other,36,U,U,F,0,4,N,L,G,C,T,2
other,51,E,H,F,3,4,N,L,G,B,R,3
CA,35,U,U,F,3,4,N,L,E,A,T,1
other,28,I,U,F,0,4,N,L,F,D,C,2
TX,40,E,H,M,1,12,N,L,G,A,T,2
NC,49,U,U,F,0,4,N,L,G,C,R,2
FL,8,E,U,M,3,4,N,L,F,A,U,3
IL,3,E,U,F,2,4,N,L,F,A,U,1
other,45,U,U,other,3,4,N,L,F,D,R,2
other,31,I,U,M,0,4,N,L,G,D,C,3
other,26,E,U,F,3,4,N,L,D,C,C,2
IL,46,E,H,M,3,4,N,L,F,D,R,2
IN,27,E,H,M,3,4,Y,L,F,B,C,2
other,12,E,H,M,3,4,Y,L,D,B,S,1
MI,44,E,H,M,3,4,N,L,F,C,R,2
CA,30,U,H,F,2,4,N,L,E,A,C,3
other,35,I,U,F,0,4,N,L,E,B,T,1
CA,26,E,U,F,3,4,N,L,D,A,C,2
IN,27,U,U,F,0,4,N,L,F,C,C,2
WI,12,E,U,F,3,4,N,L,E,B,S,1
CA,18,E,H,M,2,4,N,L,G,A,S,2
other,35,E,H,M,2,4,N,L,E,B,T,1
CA,15,I,H,M,3,4,N,L,G,A,S,1
other,39,E,H,F,3,4,N,L,E,B,T,2
NC,50,E,U,F,1,4,N,L,F,D,R,3
other,45,E,H,F,2,12,N,L,F,B,R,2
other,50,E,H,F,2,4,N,L,D,D,R,3
FL,17,U,U,M,3,4,N,L,E,B,S,2
TX,40,E,H,F,3,4,N,L,G,B,R,2
other,7,U,U,F,2,4,Y,L,F,A,U,2
other,43,E,U,M,3,4,Y,L,E,D,R,2
other,36,E,H,F,2,4,Y,L,G,C,T,2
other,10,U,U,M,0,4,N,L,G,A,U,4
CA,3,E,H,F,3,12,N,L,G,A,U,1
MI,44,U,U,M,3,4,N,L,G,C,R,2
FL,10,U,U,F,0,4,N,L,F,A,U,4
other,27,E,H,F,3,4,N,L,D,B,C,2
MI,40,U,U,F,3,4,N,L,F,B,R,2
other,45,E,H,M,2,4,N,L,F,D,R,2
NC,31,U,U,M,0,4,N,L,G,B,C,3
other,30,U,U,F,3,12,N,L,F,B,C,3
CA,2,E,H,M,3,4,N,L,F,A,U,1
MI,44,E,H,M,2,4,N,L,E,C,R,2
other,51,E,U,M,3,4,N,L,F,D,R,3
other,16,U,U,F,0,4,N,L,F,B,S,2
FL,21,E,H,M,3,4,N,L,F,A,S,3
MO,13,E,H,M,3,4,N,L,F,A,S,1
other,44,U,U,M,2,4,N,L,F,B,R,2
FL,29,E,H,M,3,4,Y,L,D,C,C,2
MI,40,U,U,F,3,4,N,L,F,A,R,2
other,40,U,U,M,0,4,N,L,F,C,R,2
WA,35,E,H,M,3,4,N,L,F,A,T,1
other,30,E,H,F,3,4,N,L,F,B,C,3
other,45,U,U,M,1,4,N,L,F,D,R,2
other,17,E,U,F,3,4,N,L,F,B,S,2
CA,1,U,U,F,0,4,N,L,D,A,U,1
other,36,E,H,M,3,4,N,L,F,D,T,2
CA,5,U,U,F,0,4,N,L,D,A,U,2
other,36,U,U,F,0,4,N,L,F,B,T,2
IN,37,U,U,F,0,4,N,L,F,D,T,2
CA,34,U,H,F,3,4,N,L,E,A,T,1
TX,44,E,U,M,3,4,N,L,E,C,R,2
WI,35,E,H,M,3,4,N,L,F,B,T,1
CA,20,E,H,F,2,4,N,L,F,A,S,2
CA,33,E,H,M,3,4,N,L,G,A,C,3
CA,20,E,H,F,1,4,N,L,F,B,S,2
IL,31,U,U,F,0,4,N,L,E,B,C,3
MO,21,E,H,M,1,4,N,L,F,B,S,3
FL,46,E,H,F,2,4,N,L,F,D,R,2
CA,24,I,H,M,3,4,N,L,F,A,C,1
TX,53,E,H,F,3,4,Y,L,F,D,R,3
GA,8,E,H,M,3,4,Y,L,G,A,U,3
CA,2,E,U,M,2,12,N,L,F,A,U,1
CA,31,U,U,F,0,4,N,L,G,C,C,3
CA,13,E,H,F,2,4,N,L,E,A,S,1
MO,36,U,U,F,0,4,N,L,E,D,T,2
other,44,U,U,F,1,12,N,L,G,C,R,2
WA,12,E,U,F,3,4,N,L,G,C,S,1
other,36,I,U,M,0,4,N,L,F,D,T,2
MI,40,U,U,M,0,4,N,L,F,A,T,2
other,17,E,H,M,3,4,N,L,E,B,S,2
other,43,E,H,M,3,4,Y,L,G,D,R,2
other,35,U,U,F,2,4,N,L,F,C,T,1
WA,20,E,H,M,3,4,N,L,E,A,S,2
other,40,U,U,F,0,4,N,L,F,D,R,2
CA,8,E,H,M,2,12,Y,L,F,A,U,3
TX,21,E,H,M,3,4,N,L,F,B,S,3
GA,32,U,U,F,0,4,N,L,D,A,C,3
NC,17,E,H,M,3,4,N,L,F,B,S,2
GA,43,E,H,F,3,4,N,L,F,C,R,2
IN,39,E,H,F,2,4,Y,L,G,C,T,2
NC,30,U,U,F,0,4,N,L,F,B,C,3
CA,27,U,U,other,0,4,N,L,E,A,C,2
WA,28,E,H,M,3,4,N,L,F,C,C,2
MI,20,E,U,M,3,4,N,L,E,A,S,2
FL,12,E,H,M,3,4,N,L,G,A,S,1
CA,11,I,H,F,3,4,N,L,G,A,S,1
CA,11,U,U,M,1,4,N,L,G,A,S,1
other,24,E,H,M,2,4,Y,L,E,B,C,1
MO,43,E,U,M,2,4,N,L,F,D,R,2
other,49,I,U,M,0,4,N,L,D,C,R,2
IN,51,U,U,F,2,4,Y,L,E,C,R,3
TX,36,E,H,F,3,4,N,L,F,D,T,2
other,45,E,H,M,3,4,Y,L,F,D,R,2
IL,18,E,H,M,3,4,N,L,F,A,S,2
TX,18,E,H,F,3,4,N,L,E,B,S,2
CA,24,E,U,M,2,4,N,L,F,C,C,1
FL,20,I,U,M,0,4,N,L,G,A,S,2
FL,18,U,U,F,0,4,N,L,E,B,S,2
IL,16,U,U,F,3,4,N,L,G,A,S,2
GA,17,E,H,M,3,12,N,L,G,A,S,2
MI,36,E,U,F,3,4,N,L,F,A,T,2
MI,31,E,U,F,1,4,Y,L,G,C,C,3
CA,17,U,U,F,0,4,N,L,E,A,S,2
other,45,U,U,F,0,4,N,L,F,D,R,2
CA,20,E,H,M,2,4,N,L,E,A,S,2
other,51,E,H,F,2,4,N,L,D,C,R,3
IL,40,U,U,F,0,4,N,L,D,D,T,2
CA,46,U,U,F,0,4,N,L,E,C,R,2
WA,2,E,H,M,2,4,N,L,G,A,U,1
other,14,E,H,M,3,4,N,L,G,B,S,1
FL,15,U,U,F,0,4,N,L,F,A,S,1
IL,44,U,U,F,1,12,N,L,E,C,R,2
other,39,E,H,M,3,4,N,L,F,C,T,2
TX,32,E,H,F,3,4,N,L,F,B,C,3
other,35,I,H,F,3,4,N,L,F,D,T,1
IL,13,E,H,M,3,4,N,L,F,A,S,1
CA,7,U,H,M,2,4,N,L,F,B,U,2
NC,28,E,U,M,3,4,N,L,F,D,C,2
other,51,U,U,M,0,4,N,L,F,D,R,3
other,41,U,U,F,0,12,N,L,F,D,T,3
other,46,E,H,F,2,4,N,L,F,B,R,2
MO,20,U,H,M,3,2,Y,L,F,B,S,2
CA,11,U,U,F,0,12,N,L,E,A,S,1
IL,13,E,H,M,2,4,N,L,E,A,S,1
other,31,E,H,F,3,4,N,L,F,B,C,3
MO,27,E,H,M,3,4,N,L,D,A,C,2
other,40,E,H,M,3,12,N,L,G,D,R,2
other,36,U,U,F,1,4,N,L,E,D,T,2
other,40,E,H,F,3,4,N,L,F,B,T,2
other,27,U,U,M,0,4,N,L,F,B,C,2
WA,44,E,H,F,3,4,Y,L,G,C,R,2
TX,20,E,H,M,3,4,N,L,E,A,S,2
IL,2,E,H,M,3,4,N,L,F,A,U,1
CA,1,U,U,other,1,4,N,L,E,A,U,1
MO,5,E,H,F,3,4,N,L,F,A,U,2
FL,20,E,H,M,3,4,N,L,E,B,S,2
other,48,E,H,F,3,4,N,L,E,D,R,2
